market,status,country_code,funding_rounds,founded_at,first_funding_at,last_funding_at,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,total_investment,years_to_first_funding
 Freelancers ,closed,AUS,1.0,2012-03-22,2012-02-01,2012-02-01,0,0,0,0,0,0,0,0,20000.0,-0.136986301369863
 Social Media ,operating,ARE,1.0,2013-12-01,2013-08-30,2013-08-30,0,0,0,0,0,0,0,0,24000.0,-0.2547945205479452
 Internet ,closed,USA,1.0,2007-06-09,2007-06-01,2007-06-01,0,0,0,0,0,0,0,0,300000.0,-0.021917808219178082
 Wealth Management ,operating,USA,1.0,2012-05-24,2012-03-24,2012-03-24,0,0,0,0,0,0,0,0,4000000.0,-0.16712328767123288
 Sports ,operating,USA,1.0,2014-03-01,2014-02-17,2014-02-17,0,0,0,0,0,0,0,0,25000.0,-0.03287671232876712
 Translation ,operating,USA,3.0,2011-11-01,2011-10-19,2014-02-18,1,1,1,0,0,0,0,0,38300000.0,-0.03561643835616438
 Games ,operating,DEU,2.0,2013-08-01,2013-01-01,2013-06-22,0,0,0,0,0,0,0,0,77000.0,-0.5808219178082191
 Video ,operating,FRA,2.0,2012-08-29,2012-06-01,2014-09-16,0,0,0,0,0,0,0,0,4500000.0,-0.24383561643835616
 Curated Web ,operating,SGP,1.0,2011-01-01,2010-01-01,2010-01-01,0,0,0,0,0,0,0,0,50000.0,-1.0
 Advertising Platforms ,operating,USA,4.0,2008-03-01,1999-03-30,2012-05-14,1,1,1,0,0,0,0,0,20600000.0,-8.92876712328767
 Clean Technology ,operating,USA,1.0,2013-06-07,2013-06-01,2013-06-01,0,0,0,0,0,0,0,0,50000.0,-0.01643835616438356
 Advertising ,operating,USA,1.0,2013-11-01,2013-09-30,2013-09-30,0,0,0,0,0,0,0,0,50000.0,-0.08767123287671233
 Curated Web ,closed,SGP,2.0,2009-01-01,2008-01-01,2009-01-01,0,0,0,0,0,0,0,0,94000.0,-1.0027397260273974
 Credit Cards ,closed,USA,1.0,2012-05-11,2012-05-01,2012-05-01,0,0,0,0,0,0,0,0,25000.0,-0.0273972602739726
 Finance ,operating,DEU,2.0,2014-04-01,2009-04-01,2013-04-01,1,0,0,0,0,0,0,0,1096107.0,-5.002739726027397
 E-Commerce ,operating,DNK,1.0,2013-09-05,2013-09-02,2013-09-02,0,0,0,0,0,0,0,0,19299.0,-0.00821917808219178
 Social Media ,operating,KOR,1.0,2012-07-27,2012-06-01,2012-06-01,0,0,0,0,0,0,0,0,84751.0,-0.15342465753424658
 Marketplaces ,operating,PAK,1.0,2013-06-14,2013-03-01,2013-03-01,0,0,0,0,0,0,0,0,2500000.0,-0.2876712328767123
 Photography ,acquired,USA,1.0,2012-10-01,2012-01-01,2012-01-01,0,0,0,0,0,0,0,0,250000.0,-0.7506849315068493
 Clean Technology ,operating,USA,3.0,2011-01-01,2008-01-11,2012-07-10,0,1,1,0,0,0,0,0,58750000.0,-2.9753424657534246
 Curated Web ,operating,GBR,4.0,2003-09-18,2003-09-15,2007-09-01,1,1,0,0,0,0,0,0,15071350.0,-0.00821917808219178
 Social Media ,operating,ESP,1.0,2012-06-01,2012-01-01,2012-01-01,0,0,0,0,0,0,0,0,51756.0,-0.41643835616438357
 Education ,operating,USA,3.0,2013-09-01,2013-04-01,2013-10-01,0,0,0,0,0,0,0,0,300000.0,-0.4191780821917808
 Advertising ,operating,USA,10.0,2007-05-01,2007-01-01,2014-02-09,1,1,1,0,0,0,0,0,73500100.0,-0.3287671232876712
 Technology ,operating,USA,1.0,2013-03-22,2013-03-01,2013-03-01,0,0,0,0,0,0,0,0,50000.0,-0.057534246575342465
 Publishing ,operating,USA,5.0,2006-09-01,2006-08-01,2012-10-01,1,1,1,0,0,0,0,0,30260000.0,-0.08493150684931507
 Education ,operating,JPN,2.0,2012-09-01,2012-03-01,2012-03-20,0,0,0,0,0,0,0,0,59730.0,-0.5041095890410959
 E-Commerce ,operating,GBR,4.0,2013-01-20,2013-01-01,2014-02-01,0,0,0,0,0,0,0,0,325398.0,-0.052054794520547946
 Internet of Things ,operating,USA,2.0,2013-04-10,2013-01-01,2014-03-07,0,0,0,0,0,0,0,0,400000.0,-0.27123287671232876
 Biotechnology ,operating,USA,2.0,2012-03-10,2011-06-21,2013-05-09,0,0,0,0,0,0,0,0,12550.0,-0.7205479452054795
 E-Commerce ,operating,IND,1.0,2009-11-26,2009-01-01,2009-01-01,0,0,0,0,0,0,0,0,50000.0,-0.9013698630136986
 Curated Web ,operating,USA,2.0,2000-08-01,2000-06-01,2004-11-01,1,1,0,0,0,0,0,0,113000000.0,-0.16712328767123288
 Weddings ,operating,USA,3.0,2012-09-01,2011-12-28,2014-01-10,0,0,0,0,0,0,0,0,910000.0,-0.6794520547945205
 Content Creators ,operating,ARG,2.0,2013-07-26,2013-01-01,2014-09-01,0,0,0,0,0,0,0,0,100000.0,-0.5643835616438356
 Internet Marketing ,closed,USA,1.0,2010-01-14,2009-09-01,2009-09-01,0,0,0,0,0,0,0,0,500000.0,-0.3698630136986301
 Curated Web ,operating,USA,4.0,2010-01-07,2010-01-01,2012-03-22,0,0,0,0,0,0,0,0,1020000.0,-0.01643835616438356
 Software ,closed,USA,2.0,2006-10-01,2006-08-01,2008-10-07,1,1,0,0,0,0,0,0,5000000.0,-0.16712328767123288
 Art ,operating,IND,1.0,2013-12-07,2013-10-25,2013-10-25,0,0,0,0,0,0,0,0,5000.0,-0.1178082191780822
 Education ,operating,USA,11.0,2014-01-01,2013-08-12,2014-11-04,0,0,0,0,0,0,0,0,81600000.0,-0.38904109589041097
 Subscription Businesses ,operating,BRA,3.0,2012-07-01,2012-05-01,2014-02-26,0,0,0,0,0,0,0,0,975000.0,-0.16712328767123288
 Enterprise Software ,operating,USA,2.0,2011-07-01,2007-04-18,2008-12-10,1,1,0,0,0,0,0,0,13950000.0,-4.205479452054795
 Reviews and Recommendations ,operating,ESP,7.0,2011-12-15,2011-12-01,2014-03-10,0,0,0,0,0,0,0,0,753473.0,-0.038356164383561646
 Project Management ,operating,USA,1.0,2008-01-01,2006-05-20,2006-05-20,0,0,0,0,0,0,0,0,50000.0,-1.6191780821917807
 Medical Devices ,operating,USA,4.0,2010-07-01,2003-01-01,2013-03-03,0,0,0,0,0,0,0,0,2043272.0,-7.501369863013698
 Clean Technology ,acquired,USA,5.0,2007-01-01,1999-09-02,2012-12-03,0,1,0,0,0,0,0,0,33052663.0,-7.336986301369863
 Analytics ,operating,USA,4.0,2011-01-18,2011-01-01,2014-09-01,0,0,0,0,0,0,0,0,1940000.0,-0.04657534246575343
 Clean Energy ,operating,USA,3.0,2012-01-01,2010-07-01,2014-09-11,0,0,0,0,0,0,0,0,1700000.0,-1.5041095890410958
 Hardware + Software ,operating,KOR,7.0,2007-04-04,2007-04-01,2014-04-25,1,1,1,0,0,0,0,0,10652300.0,-0.00821917808219178
 Enterprise Software ,acquired,GBR,1.0,2006-11-06,2006-11-01,2006-11-01,0,0,0,0,0,0,0,0,9542.0,-0.0136986301369863
 Advertising ,acquired,USA,2.0,2007-11-01,2007-01-01,2007-11-01,0,0,0,0,0,0,0,0,70000.0,-0.8328767123287671
 Education ,operating,USA,2.0,2005-11-10,2005-01-01,2005-01-01,0,0,0,0,0,0,0,0,750000.0,-0.8575342465753425
 Mobile ,closed,CAN,2.0,2006-02-01,2006-01-01,2007-04-25,1,1,0,0,0,0,0,0,12500000.0,-0.08493150684931507
 PaaS ,operating,ROM,1.0,2011-02-18,2011-01-01,2011-01-01,0,0,0,0,0,0,0,0,50000.0,-0.13150684931506848
 Security ,operating,USA,2.0,2009-03-08,2007-01-06,2013-03-24,0,0,0,0,0,0,0,0,250000.0,-2.16986301369863
 Nonprofits ,operating,USA,1.0,2012-01-01,2011-07-20,2011-07-20,0,0,0,0,0,0,0,0,40000.0,-0.4520547945205479
 Restaurants ,operating,USA,4.0,2010-10-01,2009-01-01,2013-04-29,0,0,0,0,0,0,0,0,2288898.0,-1.747945205479452
 Advertising ,operating,USA,1.0,2014-04-15,2006-11-14,2006-11-14,1,0,0,0,0,0,0,0,4000000.0,-7.421917808219178
 Peer-to-Peer ,operating,USA,8.0,2005-06-18,2005-06-01,2014-05-22,1,0,1,1,1,0,0,0,97256127.0,-0.04657534246575343
 Biotechnology ,acquired,GBR,4.0,2006-01-01,2005-07-19,2007-06-28,0,0,0,0,0,0,0,0,54200000.0,-0.4547945205479452
 Curated Web ,operating,BRA,2.0,2010-11-01,2009-12-01,2012-11-08,0,0,0,0,0,0,0,0,90000.0,-0.9178082191780822
 Finance ,operating,SGP,1.0,2008-01-01,2007-01-01,2007-01-01,0,0,0,0,0,0,0,0,50000.0,-1.0
 Events ,operating,BGR,4.0,2012-09-10,2012-07-31,2013-06-01,0,0,0,0,0,0,0,0,161251.0,-0.11232876712328767
 Developer Tools ,operating,IRL,1.0,2013-11-01,2013-02-28,2013-02-28,0,0,0,0,0,0,0,0,654553.0,-0.673972602739726
 File Sharing ,closed,SGP,1.0,2012-10-01,2010-06-01,2010-06-01,0,0,0,0,0,0,0,0,50000.0,-2.336986301369863
 Digital Media ,operating,AUT,2.0,2014-02-01,2014-01-01,2014-10-31,0,0,0,0,0,0,0,0,150000.0,-0.08493150684931507
 Health Care ,operating,USA,5.0,2012-05-01,2012-01-05,2014-11-05,1,0,0,0,0,0,0,0,5115000.0,-0.32054794520547947
 Software ,operating,USA,10.0,2007-07-01,2006-03-01,2014-11-09,1,1,1,1,1,0,0,0,290000000.0,-1.3342465753424657
 Corporate Wellness ,operating,USA,5.0,2011-03-01,2011-01-01,2013-04-01,1,0,0,0,0,0,0,0,6118000.0,-0.16164383561643836
 Social Commerce ,operating,USA,1.0,2011-04-19,2011-04-11,2011-04-11,0,0,0,0,0,0,0,0,50000.0,-0.021917808219178082
 Wireless ,operating,USA,3.0,2003-01-01,1999-10-12,2000-12-23,0,0,0,0,0,0,0,0,40500000.0,-3.2246575342465755
 Professional Services ,operating,USA,1.0,2010-11-01,2010-01-01,2010-01-01,0,0,0,0,0,0,0,0,20000.0,-0.8328767123287671
 Software ,operating,CAN,4.0,2012-01-01,2011-09-01,2014-05-14,0,0,0,0,0,0,0,0,2975000.0,-0.33424657534246577
 Travel ,operating,USA,1.0,2004-03-05,2004-03-01,2004-03-01,0,0,0,0,0,0,0,0,30000.0,-0.010958904109589041
 E-Commerce ,operating,CHE,1.0,2013-08-01,2013-06-01,2013-06-01,0,0,0,0,0,0,0,0,200000.0,-0.16712328767123288
 Mobile ,operating,USA,2.0,2013-10-01,2013-03-31,2014-05-05,0,0,0,0,0,0,0,0,1350000.0,-0.5041095890410959
 Big Data ,operating,USA,2.0,2011-07-01,2011-06-01,2013-09-23,0,0,0,0,0,0,0,0,8576699.0,-0.0821917808219178
 Medical ,operating,USA,1.0,2013-07-07,2013-04-15,2013-04-15,0,0,0,0,0,0,0,0,2500000.0,-0.2273972602739726
 Design ,operating,USA,11.0,2011-06-09,2010-01-28,2013-08-12,1,1,1,1,0,0,0,0,336325000.0,-1.3616438356164384
 Internet ,operating,GBR,2.0,2008-09-02,2008-08-01,2009-08-19,0,0,0,0,0,0,0,0,20000.0,-0.08767123287671233
 Analytics ,operating,USA,1.0,2011-04-01,2010-08-01,2010-08-01,0,0,0,0,0,0,0,0,60000.0,-0.6657534246575343
 Media ,operating,CZE,1.0,2014-05-21,2014-03-30,2014-03-30,0,0,0,0,0,0,0,0,19252.0,-0.14246575342465753
 Mobile ,operating,USA,3.0,2010-01-01,2009-04-22,2014-05-01,0,0,0,0,0,0,0,0,2020000.0,-0.6958904109589041
 Financial Services ,operating,USA,2.0,2013-11-01,2013-03-01,2014-03-26,0,0,0,0,0,0,0,0,150000.0,-0.6712328767123288
 Social Media ,acquired,USA,2.0,2012-03-01,2012-01-01,2013-05-15,0,0,0,0,0,0,0,0,984000.0,-0.1643835616438356
 Social Media ,operating,DEU,1.0,2011-04-11,2011-02-03,2011-02-03,0,0,0,0,0,0,0,0,12000.0,-0.18356164383561643
 E-Commerce ,operating,CHL,2.0,2012-02-01,2011-07-25,2012-07-21,0,0,0,0,0,0,0,0,91247.0,-0.5232876712328767
 Fantasy Sports ,operating,USA,6.0,2009-07-21,2007-11-01,2014-09-02,1,1,1,1,0,0,0,0,86200000.0,-1.7205479452054795
 Collectibles ,operating,ITA,3.0,2013-09-24,2013-01-15,2013-09-24,0,0,0,0,0,0,0,0,87000.0,-0.6904109589041096
 Ad Targeting ,operating,USA,2.0,2013-01-01,2011-11-12,2013-01-16,0,0,0,0,0,0,0,0,2500000.0,-1.1397260273972603
 Technology ,operating,USA,4.0,2012-03-30,2012-01-01,2013-07-16,0,0,0,0,0,0,0,0,678750.0,-0.24383561643835616
 Curated Web ,operating,USA,2.0,2013-05-01,2013-03-13,2013-10-13,0,0,0,0,0,0,0,0,50000.0,-0.13424657534246576
 SaaS ,operating,USA,6.0,2010-12-01,2010-10-01,2014-05-23,0,0,0,0,0,0,0,0,4065000.0,-0.16712328767123288
 Agriculture ,operating,BGR,4.0,2013-09-23,2012-09-01,2014-07-05,0,0,0,0,0,0,0,0,129538.0,-1.0602739726027397
 Web Hosting ,operating,USA,4.0,2011-03-08,2011-01-01,2014-09-16,1,1,1,0,0,0,0,0,54000000.0,-0.18082191780821918
 Facebook Applications ,acquired,USA,2.0,2010-11-29,2010-03-10,2010-11-29,0,1,1,0,0,0,0,0,5900000.0,-0.7232876712328767
 Technology ,operating,USA,3.0,2010-01-01,2007-06-27,2009-09-23,1,1,1,0,0,0,0,0,10110000.0,-2.5178082191780824
 Web Tools ,closed,USA,1.0,2004-12-01,2004-01-01,2004-01-01,0,0,0,0,0,0,0,0,1500000.0,-0.9178082191780822
 Software ,operating,KOR,1.0,2013-08-09,2013-08-05,2013-08-05,0,0,0,0,0,0,0,0,35687.0,-0.010958904109589041
 Fashion ,operating,USA,1.0,2012-10-01,2012-09-24,2012-09-24,0,0,0,0,0,0,0,0,1808240.0,-0.019178082191780823
 Mobile ,operating,FRA,3.0,2007-06-01,2007-01-01,2010-02-01,0,0,0,0,0,0,0,0,843242.0,-0.4136986301369863
 Software ,operating,USA,2.0,2011-10-18,2011-05-06,2013-02-19,1,0,0,0,0,0,0,0,4473643.0,-0.4520547945205479
 Recruiting ,operating,ESP,4.0,2013-11-01,2013-06-10,2014-05-22,1,0,0,0,0,0,0,0,88000.0,-0.39452054794520547
 Information Technology ,operating,FIN,3.0,2011-11-30,2011-01-01,2012-01-01,0,0,0,0,0,0,0,0,1305622.0,-0.9123287671232877
 Video on Demand ,operating,USA,1.0,2014-02-14,2012-09-10,2012-09-10,0,0,0,0,0,0,0,0,50000.0,-1.4301369863013698
 Enterprise Software ,operating,GBR,2.0,2009-01-23,2009-01-01,2011-07-01,0,0,0,0,0,0,0,0,508405.0,-0.06027397260273973
 Education ,operating,USA,1.0,2008-02-01,2008-01-01,2008-01-01,0,0,0,0,0,0,0,0,250000.0,-0.08493150684931507
 Curated Web ,operating,USA,2.0,2013-12-11,2013-01-13,2013-06-12,0,0,0,0,0,0,0,0,250000.0,-0.9095890410958904
 Virtual Worlds ,operating,SGP,2.0,2007-02-08,2007-01-01,2012-03-01,1,0,0,0,0,0,0,0,501000.0,-0.10410958904109589
 Advertising ,operating,USA,2.0,2008-02-01,2007-01-01,2007-02-11,1,0,0,0,0,0,0,0,5000000.0,-1.084931506849315
 High Schools ,operating,USA,1.0,2011-08-01,2008-03-01,2008-03-01,0,0,0,0,0,0,0,0,200000.0,-3.419178082191781
 Fashion ,operating,TUR,1.0,2013-10-08,2013-07-29,2013-07-29,0,0,0,0,0,0,0,0,530000.0,-0.19452054794520549
 Technology ,operating,USA,2.0,2013-07-22,2013-07-01,2013-08-23,0,0,0,0,0,0,0,0,20000.0,-0.057534246575342465
 Analytics ,operating,GBR,1.0,2009-09-17,2009-09-01,2009-09-01,0,0,0,0,0,0,0,0,81191.0,-0.043835616438356165
 Video ,operating,USA,1.0,2007-08-28,2007-08-18,2007-08-18,0,0,0,0,0,0,0,0,200000.0,-0.0273972602739726
 News ,operating,USA,4.0,2010-12-01,2010-07-20,2013-12-09,1,1,1,0,0,0,0,0,160500000.0,-0.36712328767123287
 Curated Web ,operating,USA,1.0,2013-05-08,2012-07-17,2012-07-17,0,0,0,0,0,0,0,0,40000.0,-0.8082191780821918
 Video ,operating,USA,7.0,2010-01-01,2008-10-22,2011-03-22,0,1,0,0,0,0,0,0,5102400.0,-1.1945205479452055
 Big Data ,operating,SGP,3.0,2012-05-01,2012-02-01,2012-12-14,0,0,0,0,0,0,0,0,623500.0,-0.2465753424657534
 SaaS ,operating,AUS,1.0,2011-09-14,2011-07-01,2011-07-01,0,0,0,0,0,0,0,0,250000.0,-0.2054794520547945
 Enterprise Software ,operating,GBR,2.0,2013-03-01,2013-01-01,2013-10-31,0,0,0,0,0,0,0,0,130532.0,-0.16164383561643836
 Social Media ,operating,GBR,1.0,2011-01-03,2010-12-01,2010-12-01,0,0,0,0,0,0,0,0,300000.0,-0.09041095890410959
 E-Commerce ,operating,GBR,4.0,2011-04-24,2011-04-01,2014-05-22,0,0,0,0,0,0,0,0,2750000.0,-0.06301369863013699
 Enterprise Software ,operating,USA,3.0,2010-03-22,2009-09-01,2012-05-02,1,0,0,0,0,0,0,0,2654239.0,-0.5534246575342465
 Photo Sharing ,operating,GBR,1.0,2010-01-06,2009-04-22,2009-04-22,0,0,0,0,0,0,0,0,10000.0,-0.7095890410958904
 Internet of Things ,operating,HKG,2.0,2014-02-10,2011-10-06,2014-10-15,0,0,0,0,0,0,0,0,150000.0,-2.350684931506849
 Curated Web ,operating,USA,2.0,2010-10-01,2010-04-01,2010-08-01,0,0,0,0,0,0,0,0,350000.0,-0.5013698630136987
 Distribution ,operating,ESP,2.0,2011-06-14,2010-01-01,2013-05-01,0,0,0,0,0,0,0,0,488120.0,-1.4493150684931506
 Mobile ,operating,SWE,7.0,2011-11-10,2011-11-01,2013-08-07,0,0,0,0,0,0,0,0,2283085.0,-0.024657534246575342
 Telecommunications ,operating,USA,2.0,2012-02-01,2011-10-15,2012-04-01,0,0,0,0,0,0,0,0,30000.0,-0.29863013698630136
 Crowdsourcing ,operating,USA,1.0,2009-10-01,2009-01-01,2009-01-01,0,0,0,0,0,0,0,0,100000.0,-0.7479452054794521
 Machine Learning ,operating,GBR,3.0,2013-08-01,2013-01-01,2013-12-16,0,0,0,0,0,0,0,0,40347.0,-0.5808219178082191
 Biotechnology ,operating,USA,7.0,2010-01-01,2009-05-12,2014-05-06,0,1,1,0,0,0,0,0,57300001.0,-0.6410958904109589
 Advertising ,operating,USA,5.0,2008-10-01,2008-07-01,2013-07-01,1,0,0,0,0,0,0,0,12662722.0,-0.25205479452054796
 Mobile ,operating,CHN,1.0,2010-09-01,2010-07-01,2010-07-01,0,0,0,0,0,0,0,0,300000.0,-0.16986301369863013
 Social Media ,operating,USA,1.0,2013-06-12,2012-10-01,2012-10-01,0,0,0,0,0,0,0,0,800000.0,-0.6958904109589041
 Peer-to-Peer ,operating,RUS,3.0,2011-09-01,2010-01-01,2012-11-30,0,0,0,0,0,0,0,0,255000.0,-1.6657534246575343
 Social Network Media ,operating,ITA,2.0,2013-07-04,2013-07-01,2013-10-17,0,0,0,0,0,0,0,0,650000.0,-0.00821917808219178
 Photography ,operating,USA,3.0,2014-02-24,2014-01-01,2014-02-10,0,0,0,0,0,0,0,0,1140000.0,-0.14794520547945206
 Entertainment ,operating,HKG,1.0,2013-11-01,2012-05-10,2012-05-10,0,0,0,0,0,0,0,0,1000000.0,-1.4794520547945205
 Sales and Marketing ,closed,USA,1.0,2010-07-01,2010-01-01,2010-01-01,0,0,0,0,0,0,0,0,200000.0,-0.4958904109589041
 Customer Service ,operating,FRA,2.0,2013-08-26,2013-02-01,2013-10-01,0,0,0,0,0,0,0,0,27034.0,-0.5643835616438356
 Mobile Coupons ,operating,USA,1.0,2014-01-07,2013-07-16,2013-07-16,1,0,0,0,0,0,0,0,4000000.0,-0.4794520547945205
 Humanitarian ,operating,USA,3.0,2011-09-01,2011-06-01,2014-09-23,0,0,0,0,0,0,0,0,5975000.0,-0.25205479452054796
 Advice ,operating,CAN,1.0,2007-10-17,2007-01-01,2007-01-01,0,0,0,0,0,0,0,0,129278.0,-0.7917808219178082
 Software ,operating,GBR,2.0,2008-11-05,2008-11-01,2008-11-01,0,0,0,0,0,0,0,0,15605.0,-0.010958904109589041
 Mobile ,operating,SGP,1.0,2008-01-01,2007-01-01,2007-01-01,0,0,0,0,0,0,0,0,50000.0,-1.0
 Subscription Businesses ,operating,USA,4.0,2005-01-01,2001-01-01,2014-01-15,1,0,0,0,0,0,0,0,6656544.0,-4.002739726027397
 Messaging ,closed,BRA,1.0,2009-08-15,2009-04-22,2009-04-22,0,0,0,0,0,0,0,0,10000.0,-0.3150684931506849
 Games ,closed,GBR,1.0,2010-02-22,2010-02-01,2010-02-01,0,0,0,0,0,0,0,0,87468.0,-0.057534246575342465
 Software ,operating,BGR,2.0,2011-12-15,2011-11-29,2012-05-14,0,0,0,0,0,0,0,0,29651.0,-0.043835616438356165
 Entertainment ,operating,USA,2.0,2003-12-01,2003-01-01,2008-07-03,1,0,0,0,0,0,0,0,17450000.0,-0.915068493150685
 Social Network Media ,operating,USA,1.0,2011-01-01,2008-06-01,2008-06-01,0,0,0,0,0,0,0,0,25000.0,-2.5863013698630137
 Games ,operating,TWN,1.0,2008-03-18,2008-01-01,2008-01-01,0,0,0,0,0,0,0,0,220000.0,-0.21095890410958903
 Games ,operating,USA,2.0,2012-01-01,2006-01-01,2013-03-19,1,1,0,0,0,0,0,0,2300000.0,-6.002739726027397
 Video on Demand ,operating,FRA,2.0,2008-01-24,2008-01-01,2009-06-15,0,0,0,0,0,0,0,0,251851.0,-0.06301369863013699
 Games ,acquired,USA,1.0,2010-04-01,2010-01-01,2010-01-01,0,0,0,0,0,0,0,0,50000.0,-0.2465753424657534
 Software ,operating,IND,1.0,2008-02-01,2008-01-01,2008-01-01,0,0,0,0,0,0,0,0,500000.0,-0.08493150684931507
 SaaS ,operating,CHL,1.0,2012-01-01,2011-12-06,2011-12-06,0,0,0,0,0,0,0,0,40000.0,-0.07123287671232877
 Messaging ,operating,SGP,1.0,2009-09-06,2008-07-29,2008-07-29,0,0,0,0,0,0,0,0,2000000.0,-1.106849315068493
 Photography ,closed,USA,1.0,2012-03-21,2012-03-01,2012-03-01,0,0,0,0,0,0,0,0,100000.0,-0.0547945205479452
 Curated Web ,operating,DEU,2.0,2009-03-01,2009-01-01,2010-07-07,0,0,0,0,0,0,0,0,177194.0,-0.16164383561643836
 News ,operating,USA,5.0,2005-01-01,2004-12-01,2010-11-24,1,1,1,1,1,0,0,0,27450000.0,-0.08493150684931507
 Reviews and Recommendations ,operating,USA,1.0,2014-01-01,2013-03-01,2013-03-01,0,0,0,0,0,0,0,0,100000.0,-0.8383561643835616
 Automotive ,operating,USA,1.0,2008-02-01,2008-01-01,2008-01-01,0,0,0,0,0,0,0,0,350000.0,-0.08493150684931507
 Semiconductors ,operating,USA,8.0,2000-01-01,1999-10-01,2014-09-11,1,1,1,1,1,1,0,0,212528399.0,-0.25205479452054796
 Databases ,acquired,USA,2.0,2006-08-01,2006-07-11,2008-03-26,0,0,1,0,0,0,0,0,20000000.0,-0.057534246575342465
 Curated Web ,closed,USA,4.0,2010-08-01,2009-02-10,2010-06-12,0,0,0,0,0,0,0,0,435953.0,-1.4712328767123288
 Nightclubs ,operating,COL,3.0,2008-10-01,2008-09-29,2009-12-11,1,1,0,0,0,0,0,0,4700000.0,-0.005479452054794521
 Web Browsers ,operating,TUR,2.0,2012-10-20,2012-08-15,2014-06-24,1,0,0,0,0,0,0,0,260000.0,-0.18082191780821918
 Bitcoin ,operating,USA,3.0,2014-01-22,2014-01-21,2014-09-17,0,0,0,0,0,0,0,0,2100000.0,-0.0027397260273972603
 Software ,operating,USA,1.0,2007-01-01,2006-09-25,2006-09-25,1,0,0,0,0,0,0,0,2200000.0,-0.2684931506849315
 Software ,operating,USA,2.0,2009-01-01,2008-12-29,2013-09-19,0,0,0,0,0,0,0,0,2198512.0,-0.00821917808219178
 Databases ,operating,USA,3.0,2008-11-01,2008-01-01,2014-07-28,0,0,0,0,0,0,0,0,7570000.0,-0.8356164383561644
 Web Hosting ,acquired,USA,4.0,1996-01-01,1995-01-01,1998-01-01,1,1,1,1,0,0,0,0,40000000.0,-1.0
 Farming ,operating,USA,1.0,2014-06-01,2013-10-20,2013-10-20,0,0,0,0,0,0,0,0,100.0,-0.6136986301369863
 Analytics ,acquired,USA,3.0,2005-07-07,2005-07-01,2010-08-26,1,1,1,0,0,0,0,0,11500000.0,-0.01643835616438356
 Web Development ,operating,UKR,1.0,2006-09-01,2006-01-01,2006-01-01,0,0,0,0,0,0,0,0,50000.0,-0.6657534246575343
 Health Care ,operating,USA,1.0,2012-07-13,2012-07-01,2012-07-01,0,0,0,0,0,0,0,0,50000.0,-0.03287671232876712
 Android ,operating,AUT,1.0,2013-07-12,2013-01-01,2013-01-01,0,0,0,0,0,0,0,0,80000.0,-0.5260273972602739
 Transportation ,operating,ISR,5.0,2010-03-01,2010-02-07,2014-08-13,1,1,1,0,0,0,0,0,50000000.0,-0.06027397260273973
 Cloud Management ,operating,USA,2.0,2009-06-01,2009-01-01,2010-11-22,0,0,0,0,0,0,0,0,9500000.0,-0.4136986301369863
 Gift Registries ,operating,PHL,1.0,2014-01-01,2013-01-01,2013-01-01,0,0,0,0,0,0,0,0,30000.0,-1.0
 Market Research ,operating,USA,6.0,2006-07-01,2006-06-01,2014-02-20,1,1,1,1,1,1,0,0,22325000.0,-0.0821917808219178
 Match-Making ,operating,TUR,2.0,2012-07-01,2011-06-22,2013-04-01,0,0,0,0,0,0,0,0,600000.0,-1.0273972602739727
 Recruiting ,operating,USA,5.0,2011-11-01,2011-08-04,2014-06-04,1,1,0,0,0,0,0,0,25900000.0,-0.24383561643835616
 Retail ,operating,DEU,3.0,2006-08-01,2006-01-01,2008-04-30,1,0,0,0,0,0,0,0,1951712.0,-0.5808219178082191
 Semantic Search ,operating,DEU,4.0,2011-07-25,2011-03-01,2012-10-22,0,0,0,0,0,0,0,0,1830000.0,-0.4
 Consumers ,operating,DEU,1.0,2011-07-25,2011-03-01,2011-03-01,0,0,0,0,0,0,0,0,124425.0,-0.4
 Search ,operating,USA,1.0,2012-04-01,2007-01-01,2007-01-01,0,0,0,0,0,0,0,0,600000.0,-5.252054794520548
 Sports ,operating,GBR,2.0,2013-03-01,2012-11-01,2014-01-28,1,1,0,0,0,0,0,0,4596695.0,-0.3287671232876712
 Finance ,operating,USA,2.0,2013-08-01,2011-07-11,2012-11-13,0,0,0,0,0,0,0,0,2487000.0,-2.0602739726027397
 Hardware ,operating,ESP,3.0,2012-08-27,2012-07-12,2014-03-15,0,0,0,0,0,0,0,0,785000.0,-0.12602739726027398
 Peer-to-Peer ,operating,ITA,1.0,2008-03-01,2008-01-01,2008-01-01,0,0,0,0,0,0,0,0,294420.0,-0.1643835616438356
 Business Intelligence ,acquired,USA,4.0,2012-04-15,2012-03-07,2013-04-09,0,0,0,0,0,0,0,0,1350000.0,-0.10684931506849316
 Mobile ,operating,USA,2.0,2012-01-05,2012-01-01,2013-05-15,0,0,0,0,0,0,0,0,760000.0,-0.010958904109589041
 Finance ,operating,USA,1.0,2014-05-01,2013-10-25,2013-10-25,0,0,0,0,0,0,0,0,100000.0,-0.5150684931506849
 Music ,operating,USA,3.0,2007-01-01,2006-09-01,2009-10-07,0,1,0,0,0,0,0,0,7100000.0,-0.33424657534246577
 Mobile ,operating,ARE,1.0,2009-05-05,2009-05-01,2009-05-01,0,0,0,0,0,0,0,0,1991250.0,-0.010958904109589041
